delay_id,trip_id,stop_id,service_date,delay_minutes,cause
D0000001,T0001675,S0046,2025-01-01,42,Traffic
D0000002,T0000359,S0045,2025-01-06,16,Traffic
D0000003,T0001640,S0036,2025-01-04,27,Signal
D0000004,T0000538,S0021,2025-01-01,45,Traffic
D0000005,T0001539,S0086,2025-01-07,32,Passenger
D0000006,T0001685,S0089,2025-01-07,31,Signal
D0000007,T0000669,S0006,2025-01-03,42,Passenger
D0000008,T0001100,S0084,2025-01-01,8,Mechanical
D0000009,T0001314,S0060,2025-01-03,8,Signal
D0000010,T0000599,S0048,2025-01-04,45,Signal
D0000011,T0001304,S0098,2025-01-03,20,Traffic
D0000012,T0000579,S0074,2025-01-05,24,Mechanical
D0000013,T0001155,S0017,2025-01-05,43,Passenger
D0000014,T0001612,S0029,2025-01-05,26,Weather
D0000015,T0000409,S0028,2025-01-01,14,Mechanical
D0000016,T0001048,S0009,2025-01-02,17,Mechanical
D0000017,T0001055,S0096,2025-01-06,41,Traffic
D0000018,T0001928,S0072,2025-01-01,8,Passenger
D0000019,T0000116,S0083,2025-01-01,24,Signal
D0000020,T0001530,S0100,2025-01-02,14,Weather
D0000021,T0001431,S0026,2025-01-03,27,Mechanical
D0000022,T0001585,S0097,2025-01-03,33,Weather
D0000023,T0001430,S0028,2025-01-05,12,Passenger
D0000024,T0001649,S0040,2025-01-07,36,Passenger
D0000025,T0000269,S0014,2025-01-06,21,Passenger
D0000026,T0000082,S0060,2025-01-01,3,Weather
D0000027,T0001073,S0027,2025-01-01,23,Traffic
D0000028,T0000036,S0024,2025-01-04,42,Traffic
D0000029,T0001736,S0077,2025-01-07,5,Traffic
D0000030,T0000170,S0091,2025-01-07,24,Passenger
D0000031,T0000212,S0030,2025-01-04,25,Passenger
D0000032,T0001057,S0062,2025-01-06,43,Signal
D0000033,T0001286,S0022,2025-01-02,22,Weather
D0000034,T0000744,S0047,2025-01-06,12,Mechanical
D0000035,T0001439,S0036,2025-01-04,22,Weather
D0000036,T0000482,S0084,2025-01-02,14,Signal
D0000037,T0000221,S0041,2025-01-06,35,Mechanical
