count_id,trip_id,stop_id,timestamp,boarding_count,alighting_count
PC0000001,T0001239,S0004,2025-01-01 08:10:00,26,4
PC0000002,T0000376,S0064,2025-01-01 08:10:00,3,14
PC0000003,T0001792,S0048,2025-01-01 08:10:00,46,29
PC0000004,T0001533,S0056,2025-01-01 08:10:00,10,10
PC0000005,T0001377,S0094,2025-01-01 08:10:00,25,0
PC0000006,T0001489,S0035,2025-01-01 08:10:00,36,17
PC0000007,T0000462,S0063,2025-01-01 08:10:00,37,28
PC0000008,T0001266,S0075,2025-01-01 08:10:00,28,5
PC0000009,T0001872,S0094,2025-01-01 08:10:00,18,30
PC0000010,T0001033,S0069,2025-01-01 08:10:00,14,23
PC0000011,T0000368,S0060,2025-01-01 08:10:00,40,20
PC0000012,T0000829,S0081,2025-01-01 08:10:00,4,12
PC0000013,T0001057,S0091,2025-01-01 08:10:00,9,26
PC0000014,T0000402,S0002,2025-01-01 08:10:00,17,21
PC0000015,T0000684,S0045,2025-01-01 08:10:00,28,6
PC0000016,T0000847,S0039,2025-01-01 08:10:00,40,21
PC0000017,T0001166,S0073,2025-01-01 08:10:00,36,26
PC0000018,T0001137,S0074,2025-01-01 08:10:00,26,14
PC0000019,T0001167,S0032,2025-01-01 08:10:00,5,4
PC0000020,T0001501,S0080,2025-01-01 08:10:00,19,1
PC0000021,T0001726,S0074,2025-01-01 08:10:00,47,25
PC0000022,T0000598,S0006,2025-01-01 08:10:00,-5,21
PC0000023,T0001446,S0071,2025-01-01 08:10:00,31,26
PC0000024,T0000010,S0008,2025-01-01 08:10:00,27,15
PC0000025,T0001328,S0068,2025-01-01 08:10:00,10,4
PC0000026,T0001024,S0048,2025-01-01 08:10:00,10,20
PC0000027,T0000136,S0024,2025-01-01 08:10:00,1,1
PC0000028,T0001244,S0047,2025-01-01 08:10:00,30,3
PC0000029,T0001271,S0082,2025-01-01 08:10:00,3,21
PC0000030,T0000621,S0095,2025-01-01 08:10:00,3,7
PC0000031,T0000126,S0082,2025-01-01 08:10:00,5,17
PC0000032,T0000023,S0079,2025-01-01 08:10:00,16,2
PC0000033,T0000145,S0068,2025-01-01 08:10:00,26,22
PC0000034,T0001531,S0016,2025-01-01 08:10:00,35,29
PC0000035,T0000909,S0014,2025-01-01 08:10:00,26,17
PC0000036,T0000219,S0015,2025-01-01 08:10:00,19,21
PC0000037,T0000142,S0054,2025-01-01 08:10:00,12,9
PC0000038,T0000838,S0007,2025-01-01 08:10:00,26,2
PC0000039,T0000167,S0019,2025-01-01 08:10:00,18,23
PC0000040,T0000513,S0097,2025-01-01 08:10:00,42,13
PC0000041,T0001040,S0089,2025-01-01 08:10:00,3,30
PC0000042,T0000085,S0032,2025-01-01 08:10:00,29,11
PC0000043,T0000989,S0084,2025-01-01 08:10:00,9,27
PC0000044,T0000874,S0100,2025-01-01 08:10:00,14,27
PC0000045,T0000947,S0049,2025-01-01 08:10:00,21,22
PC0000046,T0001892,S0088,2025-01-01 08:10:00,19,20
PC0000047,T0000868,S0078,2025-01-01 08:10:00,21,22
PC0000048,T0001695,S0014,2025-01-01 08:10:00,27,21
PC0000049,T0001434,S0085,2025-01-01 08:10:00,50,30
PC0000050,T0001687,S0051,2025-01-01 08:10:00,11,14
PC0000051,T0000459,S0055,2025-01-01 08:10:00,19,13
PC0000052,T0001963,S0085,2025-01-01 08:10:00,46,30
PC0000053,T0000959,S0081,2025-01-01 08:10:00,5,5
PC0000054,T0001359,S0054,2025-01-01 08:10:00,7,2
PC0000055,T0001202,S0066,2025-01-01 08:10:00,16,27
PC0000056,T0000270,S0065,2025-01-01 08:10:00,38,10
PC0000057,T0001145,S0078,2025-01-01 08:10:00,11,19
PC0000058,T0001945,S0042,2025-01-01 08:10:00,41,29
PC0000059,T0001192,S0008,2025-01-01 08:10:00,15,18
PC0000060,T0000480,S0063,2025-01-01 08:10:00,49,27
PC0000061,T0001444,S0060,2025-01-01 08:10:00,0,9
PC0000062,T0000290,S0029,2025-01-01 08:10:00,15,20
PC0000063,T0000362,S0005,2025-01-01 08:10:00,15,28
PC0000064,T0000417,S0054,2025-01-01 08:10:00,31,22
PC0000065,T0000367,S0006,2025-01-01 08:10:00,46,10
PC0000066,T0001832,S0014,2025-01-01 08:10:00,18,29
PC0000067,T0000145,S0090,2025-01-01 08:10:00,39,7
PC0000068,T0000538,S0058,2025-01-01 08:10:00,49,30
PC0000069,T0001415,S0047,2025-01-01 08:10:00,27,24
PC0000070,T0000942,S0077,2025-01-01 08:10:00,37,5
PC0000071,T0000395,S0049,2025-01-01 08:10:00,47,21
PC0000072,T0001809,S0084,2025-01-01 08:10:00,39,24
PC0000073,T0000533,S0027,2025-01-01 08:10:00,42,17
PC0000074,T0001887,S0003,2025-01-01 08:10:00,12,29
PC0000075,T0001648,S0034,2025-01-01 08:10:00,20,15
PC0000076,T0000231,S0096,2025-01-01 08:10:00,6,20
PC0000077,T0000088,S0054,2025-01-01 08:10:00,16,8
PC0000078,T0000428,S0017,2025-01-01 08:10:00,30,7
PC0000079,T0001964,S0018,2025-01-01 08:10:00,14,30
PC0000080,T0000335,S0006,2025-01-01 08:10:00,6,5
PC0000081,T0000323,S0078,2025-01-01 08:10:00,500,20
PC0000082,T0000749,S0052,2025-01-01 08:10:00,24,1
PC0000083,T0000776,S0074,2025-01-01 08:10:00,34,24
PC0000084,T0001553,S0046,2025-01-01 08:10:00,18,5
PC0000085,T0001223,S0069,2025-01-01 08:10:00,16,22
PC0000086,T0001462,S0071,2025-01-01 08:10:00,3,6
