passenger_id,card_type
P000001,Senior
P000002,Standard
P000003,Standard
P000004,Senior
P000005,Student
P000006,Student
P000007,Monthly
P000008,Monthly
P000009,Standard
P000010,Senior
P000011,Senior
P000012,Monthly
P000013,Student
P000014,Monthly
P000015,Senior
P000016,Student
P000017,Senior
P000018,Standard
P000019,Senior
P000020,Standard
P000021,Student
P000022,Senior
P000023,Standard
P000024,Monthly
P000025,Student
P000026,Student
P000027,Senior
P000028,Student
P000029,Standard
P000030,Standard
P000031,Standard
P000032,Senior
P000033,Standard
P000034,Monthly
P000035,Standard
P000036,Monthly
P000037,Senior
P000038,Senior
P000039,Standard
P000040,Standard
P000041,Student
P000042,Monthly
P000043,Standard
P000044,Senior
P000045,Student
P000046,Senior
P000047,Monthly
P000048,Standard
P000049,Monthly
P000050,Senior
P000051,Standard
P000052,Senior
P000053,Standard
P000054,Standard
P000055,Monthly
P000056,Student
P000057,Student
P000058,Monthly
P000059,Monthly
P000060,Monthly
P000061,Senior
P000062,Student
P000063,Monthly
P000064,Senior
P000065,Student
P000066,Senior
P000067,Student
P000068,Student
P000069,Senior
P000070,Senior
P000071,Monthly
P000072,Monthly
P000073,Monthly
P000074,Senior
P000075,Senior
P000076,Senior
P000077,Senior
P000078,Senior
P000079,Standard
P000080,Senior
P000081,Monthly
P000082,Senior
P000083,Monthly
P000084,Senior
P000085,Student
P000086,Senior
P000087,Standard
P000088,Monthly
P000089,Senior
P000090,Senior
P000091,Senior
P000092,Senior
P000093,Standard
P000094,Senior
P000095,Standard
P000096,Senior
P000097,Student
P000098,Monthly
P000099,Student
P000100,Standard
P000101,Monthly
P000102,Monthly
P000103,Standard
P000104,Monthly
P000105,Student
P000106,Student
P000107,Student
P000108,Student
P000109,Student
P000110,Standard
P000111,Standard
P000112,Student
P000113,Monthly
P000114,Student
P000115,Standard
P000116,Student
P000117,Senior
P000118,Senior
P000119,Student
P000120,Senior
P000121,Senior
P000122,Senior
P000123,Senior
P000124,Monthly
P000125,Senior
P000126,Standard
P000127,Senior
P000128,Standard
P000129,Senior
P000130,Monthly
P000131,Senior
P000132,Standard
P000133,Standard
P000134,Monthly
P000135,Senior
P000136,Monthly
P000137,Student
P000138,Monthly
P000139,Standard
P000140,Senior
P000141,Monthly
P000142,Standard
P000143,Monthly
P000144,Student
P000145,Monthly
P000146,Student
P000147,Monthly
P000148,Monthly
P000149,Standard
P000150,Standard
P000151,Senior
P000152,Standard
P000153,Student
P000154,Student
P000155,Standard
P000156,Standard
P000157,Standard
P000158,Senior
P000159,Student
P000160,Monthly
P000161,Monthly
P000162,Standard
P000163,Senior
P000164,Monthly
P000165,Senior
P000166,Standard
P000167,Senior
P000168,Student
P000169,Monthly
P000170,Student
P000171,Standard
P000172,Standard
P000173,Student
P000174,Standard
P000175,Monthly
P000176,Monthly
P000177,Student
P000178,Monthly
P000179,Monthly
P000180,Monthly
P000181,Standard
P000182,Standard
P000183,Monthly
P000184,Senior
P000185,Senior
P000186,Monthly
P000187,Monthly
P000188,Standard
P000189,Monthly
P000190,Monthly
P000191,Student
P000192,Student
P000193,Senior
P000194,Student
P000195,Student
P000196,Monthly
P000197,Senior
P000198,Student
P000199,Student
P000200,Senior
P000201,Standard
P000202,Senior
P000203,Senior
P000204,Monthly
P000205,Standard
P000206,Monthly
P000207,Standard
P000208,Monthly
P000209,Senior
P000210,Standard
P000211,Standard
P000212,Senior
P000213,Student
P000214,Monthly
P000215,Standard
P000216,Senior
P000217,Standard
P000218,Monthly
P000219,Senior
P000220,Senior
P000221,Student
P000222,Monthly
P000223,Student
P000224,Senior
P000225,Student
P000226,Standard
P000227,Student
P000228,Senior
P000229,Standard
P000230,Monthly
P000231,Standard
P000232,Monthly
P000233,Monthly
P000234,Standard
P000235,Standard
P000236,Monthly
P000237,Senior
P000238,Student
P000239,Standard
P000240,Monthly
P000241,Student
P000242,Standard
P000243,Senior
P000244,Senior
P000245,Student
P000246,Student
P000247,Senior
P000248,Student
P000249,Monthly
P000250,Student
P000251,Senior
P000252,Standard
P000253,Student
P000254,Monthly
P000255,Student
P000256,Monthly
P000257,Monthly
P000258,Senior
P000259,Student
P000260,Standard
P000261,Student
P000262,Student
P000263,Monthly
P000264,Senior
P000265,Standard
P000266,Monthly
P000267,Standard
P000268,Standard
P000269,Senior
P000270,Standard
P000271,Student
P000272,Senior
P000273,Senior
P000274,Monthly
P000275,Standard
P000276,Monthly
P000277,Monthly
P000278,Student
P000279,Monthly
P000280,Standard
P000281,Student
P000282,Senior
P000283,Senior
P000284,Standard
P000285,Monthly
P000286,Standard
P000287,Monthly
P000288,Student
P000289,Standard
P000290,Student
P000291,Student
P000292,Student
P000293,Senior
P000294,Standard
P000295,Standard
P000296,Standard
P000297,Monthly
P000298,Standard
P000299,Senior
P000300,Senior
P000301,Monthly
P000302,Student
P000303,Student
P000304,Standard
P000305,Student
P000306,Monthly
P000307,Monthly
P000308,Senior
P000309,Student
P000310,Senior
P000311,Standard
P000312,Senior
P000313,Monthly
P000314,Student
P000315,Student
P000316,Monthly
P000317,Student
P000318,Monthly
P000319,Senior
P000320,Standard
P000321,Standard
P000322,Monthly
P000323,Standard
P000324,Senior
P000325,Student
P000326,Standard
P000327,Monthly
P000328,Standard
P000329,Senior
P000330,Standard
P000331,Monthly
P000332,Student
P000333,Standard
P000334,Senior
P000335,Senior
P000336,Student
P000337,Student
P000338,Senior
P000339,Standard
P000340,Student
P000341,Standard
P000342,Senior
P000343,Monthly
P000344,Standard
P000345,Senior
P000346,Senior
P000347,Student
P000348,Student
P000349,Senior
P000350,Senior
P000351,Senior
P000352,Monthly
P000353,Standard
P000354,Senior
P000355,Student
P000356,Student
P000357,Monthly
P000358,Standard
P000359,Standard
P000360,Standard
P000361,Senior
P000362,Student
P000363,Senior
P000364,Standard
P000365,Standard
P000366,Monthly
P000367,Monthly
P000368,Senior
P000369,Monthly
P000370,Standard
P000371,Student
P000372,Standard
P000373,Student
P000374,Standard
P000375,Standard
P000376,Student
P000377,Senior
P000378,Standard
P000379,Monthly
P000380,Monthly
P000381,Monthly
P000382,Student
P000383,Senior
P000384,Monthly
P000385,Monthly
P000386,Student
P000387,Senior
P000388,Standard
P000389,Senior
P000390,Standard
P000391,Monthly
P000392,Senior
P000393,Senior
P000394,Senior
P000395,Standard
P000396,Monthly
P000397,Monthly
P000398,Standard
P000399,Monthly
P000400,Monthly
P000401,Monthly
P000402,Senior
P000403,Standard
P000404,Student
P000405,Monthly
P000406,Monthly
P000407,Senior
P000408,Student
P000409,Senior
P000410,Student
P000411,Standard
P000412,Senior
P000413,Standard
P000414,Standard
P000415,Senior
P000416,Monthly
P000417,Student
P000418,Senior
P000419,Senior
P000420,Standard
P000421,Standard
P000422,Standard
P000423,Student
P000424,Student
P000425,Standard
P000426,Standard
P000427,Standard
P000428,Student
P000429,Monthly
P000430,Standard
P000431,Monthly
P000432,Student
P000433,Standard
P000434,Standard
P000435,Monthly
P000436,Student
P000437,Senior
P000438,Student
P000439,Senior
P000440,Student
P000441,Student
P000442,Standard
P000443,Senior
P000444,Monthly
P000445,Student
P000446,Senior
P000447,Standard
P000448,Monthly
P000449,Student
P000450,Standard
P000451,Senior
P000452,Student
P000453,Senior
P000454,Student
P000455,Monthly
P000456,Monthly
P000457,Senior
P000458,Senior
P000459,Senior
P000460,Monthly
P000461,Standard
P000462,Standard
P000463,Senior
P000464,Student
P000465,Student
P000466,Senior
P000467,Senior
P000468,Standard
P000469,Monthly
P000470,Monthly
P000471,Monthly
P000472,Senior
P000473,Student
P000474,Student
P000475,Senior
P000476,Senior
P000477,Monthly
P000478,Standard
P000479,Standard
P000480,Student
P000481,Standard
P000482,Standard
P000483,Standard
P000484,Senior
P000485,Standard
P000486,Senior
P000487,Monthly
P000488,Student
P000489,Standard
P000490,Senior
P000491,Senior
P000492,Senior
P000493,Standard
P000494,Monthly
P000495,Student
P000496,Monthly
P000497,Senior
P000498,Student
P000499,Senior
P000500,Senior
P000501,Student
P000502,Senior
P000503,Monthly
P000504,Senior
P000505,Monthly
P000506,Student
P000507,Monthly
P000508,Senior
P000509,Monthly
P000510,Standard
P000511,Monthly
P000512,Standard
P000513,Student
P000514,Student
P000515,Student
P000516,Student
P000517,Standard
P000518,Monthly
P000519,Standard
P000520,Monthly
P000521,Student
P000522,Standard
P000523,Standard
P000524,Standard
P000525,Senior
P000526,Student
P000527,Standard
P000528,Monthly
P000529,Standard
P000530,Standard
P000531,Standard
P000532,Monthly
P000533,Monthly
P000534,Standard
P000535,Monthly
P000536,Monthly
P000537,Student
P000538,Senior
P000539,Monthly
P000540,Student
P000541,Standard
P000542,Monthly
P000543,Student
P000544,Monthly
P000545,Monthly
P000546,Standard
P000547,Monthly
P000548,Senior
P000549,Monthly
P000550,Monthly
P000551,Monthly
P000552,Senior
P000553,Senior
P000554,Student
P000555,Standard
P000556,Senior
P000557,Monthly
P000558,Standard
P000559,Senior
P000560,Student
P000561,Senior
P000562,Standard
P000563,Senior
P000564,Monthly
P000565,Senior
P000566,Standard
P000567,Student
P000568,Monthly
P000569,Senior
P000570,Student
P000571,Monthly
P000572,Monthly
P000573,Student
P000574,Monthly
P000575,Senior
P000576,Student
P000577,Standard
P000578,Monthly
P000579,Student
P000580,Senior
P000581,Monthly
P000582,Standard
P000583,Student
P000584,Monthly
P000585,Standard
P000586,Monthly
P000587,Standard
P000588,Standard
P000589,Senior
P000590,Monthly
P000591,Monthly
P000592,Standard
P000593,Student
P000594,Monthly
P000595,Standard
P000596,Senior
P000597,Student
P000598,Monthly
P000599,Student
P000600,Monthly
P000601,Senior
P000602,Monthly
P000603,Monthly
P000604,Monthly
P000605,Senior
P000606,Student
P000607,Senior
P000608,Senior
P000609,Student
P000610,Student
P000611,Senior
P000612,Standard
P000613,Standard
P000614,Monthly
P000615,Student
P000616,Monthly
P000617,Standard
P000618,Standard
P000619,Monthly
P000620,Monthly
P000621,Monthly
P000622,Monthly
P000623,Standard
P000624,Student
P000625,Standard
P000626,Standard
P000627,Monthly
P000628,Student
P000629,Senior
P000630,Monthly
P000631,Student
P000632,Student
P000633,Standard
P000634,Monthly
P000635,Monthly
P000636,Student
P000637,Student
P000638,Standard
P000639,Monthly
P000640,Student
P000641,Standard
P000642,Student
P000643,Standard
P000644,Student
P000645,Senior
P000646,Monthly
P000647,Monthly
P000648,Monthly
P000649,Student
P000650,Standard
P000651,Standard
P000652,Monthly
P000653,Senior
P000654,Student
P000655,Student
P000656,Student
P000657,Student
P000658,Monthly
P000659,Monthly
P000660,Standard
P000661,Monthly
P000662,Senior
P000663,Student
P000664,Monthly
P000665,Senior
P000666,Standard
P000667,Standard
P000668,Monthly
P000669,Student
P000670,Monthly
P000671,Monthly
P000672,Standard
P000673,Senior
P000674,Monthly
P000675,Monthly
P000676,Monthly
P000677,Student
P000678,Monthly
P000679,Senior
P000680,Senior
P000681,Monthly
P000682,Standard
P000683,Standard
P000684,Senior
P000685,Standard
P000686,Standard
P000687,Monthly
P000688,Student
P000689,Senior
P000690,Senior
P000691,Student
P000692,Monthly
P000693,Monthly
P000694,Monthly
P000695,Senior
P000696,Senior
P000697,Monthly
P000698,Senior
P000699,Student
P000700,Standard
P000701,Standard
P000702,Monthly
P000703,Senior
P000704,Senior
P000705,Monthly
P000706,Senior
P000707,Monthly
P000708,Monthly
P000709,Monthly
P000710,Senior
P000711,Student
P000712,Monthly
P000713,Senior
P000714,Senior
P000715,Monthly
P000716,Standard
P000717,Monthly
P000718,Standard
P000719,Senior
P000720,Monthly
P000721,Standard
P000722,Student
P000723,Monthly
P000724,Standard
P000725,Student
P000726,Senior
P000727,Monthly
P000728,Senior
P000729,Senior
P000730,Monthly
P000731,Student
P000732,Standard
P000733,Monthly
P000734,Senior
P000735,Standard
P000736,Student
P000737,Standard
P000738,Standard
P000739,Monthly
P000740,Student
P000741,Senior
P000742,Standard
P000743,Student
P000744,Monthly
P000745,Monthly
P000746,Senior
P000747,Senior
P000748,Student
P000749,Monthly
P000750,Monthly
P000751,Student
P000752,Monthly
P000753,Senior
P000754,Student
P000755,Standard
P000756,Senior
P000757,Standard
P000758,Student
P000759,Standard
P000760,Monthly
P000761,Senior
P000762,Standard
P000763,Standard
P000764,Monthly
P000765,Monthly
P000766,Monthly
P000767,Student
P000768,Student
P000769,Standard
P000770,Senior
P000771,Monthly
P000772,Student
P000773,Senior
P000774,Monthly
P000775,Student
P000776,Senior
P000777,Student
P000778,Senior
P000779,Monthly
P000780,Monthly
P000781,Student
P000782,Student
P000783,Monthly
P000784,Monthly
P000785,Monthly
P000786,Monthly
P000787,Monthly
P000788,Monthly
P000789,Student
P000790,Senior
P000791,Monthly
P000792,Standard
P000793,Student
P000794,Senior
P000795,Student
P000796,Monthly
P000797,Student
P000798,Student
P000799,Monthly
P000800,Student
P000801,Standard
P000802,Monthly
P000803,Monthly
P000804,Student
P000805,Monthly
P000806,Senior
P000807,Senior
P000808,Student
P000809,Standard
P000810,Senior
P000811,Monthly
P000812,Standard
P000813,Senior
P000814,Standard
P000815,Senior
P000816,Student
P000817,Monthly
P000818,Monthly
P000819,Senior
P000820,Student
P000821,Monthly
P000822,Student
P000823,Senior
P000824,Senior
P000825,Standard
P000826,Student
P000827,Student
P000828,Student
P000829,Student
P000830,Student
P000831,Monthly
P000832,Senior
P000833,Senior
P000834,Student
P000835,Senior
P000836,Student
P000837,Student
P000838,Student
P000839,Senior
P000840,Student
P000841,Monthly
P000842,Standard
P000843,Senior
P000844,Monthly
P000845,Senior
P000846,Senior
P000847,Student
P000848,Monthly
