route_id,stop_id,stop_sequence
R001,S0025,1
R001,S0069,2
R001,S0010,3
R001,S0100,4
R001,S0074,5
R001,S0052,6
R001,S0033,7
R001,S0035,8
R001,S0041,9
R001,S0031,10
R001,S0082,11
R001,S0044,12
R001,S0032,13
R001,S0047,14
R001,S0006,15
R001,S0087,16
R001,S0095,17
R001,S0048,18
R001,S0023,19
R001,S0034,20
R001,S0059,21
R001,S0096,22
R001,S0029,23
R001,S0039,24
R001,S0019,25
R002,S0060,1
R002,S0017,2
R002,S0001,3
R002,S0013,4
R002,S0068,5
R002,S0015,6
R002,S0049,7
R002,S0032,8
R002,S0094,9
R002,S0027,10
R002,S0077,11
R002,S0071,12
R002,S0012,13
R002,S0086,14
R002,S0020,15
R002,S0091,16
R002,S0005,17
R002,S0099,18
R002,S0088,19
R002,S0040,20
R003,S0069,1
R003,S0050,2
R003,S0086,3
R003,S0060,4
R003,S0052,5
R003,S0076,6
R003,S0022,7
R003,S0032,8
R003,S0013,9
R003,S0058,10
R003,S0051,11
R003,S0042,12
R003,S0093,13
R003,S0025,14
R003,S0034,15
R003,S0056,16
R003,S0045,17
R003,S0092,18
R003,S0021,19
R003,S0098,20
R003,S0083,21
R003,S0033,22
R003,S0071,23
R003,S0037,24
R003,S0015,25
R004,S0017,1
R004,S0031,2
R004,S0028,3
R004,S0012,4
R004,S0024,5
R004,S0084,6
R004,S0096,7
R004,S0052,8
R004,S0036,9
R004,S0023,10
R004,S0032,11
R004,S0089,12
R004,S0093,13
R004,S0073,14
R004,S0065,15
R004,S0039,16
R004,S0027,17
R005,S0087,1
R005,S0085,2
R005,S0035,3
R005,S0098,4
R005,S0046,5
R005,S0045,6
R005,S0032,7
R005,S0076,8
R005,S0063,9
R005,S0090,10
R005,S0051,11
R005,S0099,12
R005,S0033,13
R005,S0067,14
R005,S0028,15
R005,S0058,16
R005,S0066,17
R005,S0096,18
R005,S0060,19
R005,S0056,20
R005,S0025,21
R005,S0049,22
R005,S0026,23
R006,S0008,1
R006,S0060,2
R006,S0016,3
R006,S0090,4
R006,S0005,5
R006,S0056,6
R006,S0026,7
R006,S0086,8
R006,S0045,9
R006,S0011,10
R006,S0006,11
R006,S0077,12
R006,S0034,13
R006,S0096,14
R007,S0010,1
R007,S0071,2
R007,S0005,3
R007,S0037,4
R007,S0057,5
R007,S0054,6
R007,S0045,7
R007,S0098,8
R007,S0052,9
R007,S0076,10
R007,S0047,11
R007,S0016,12
R007,S0074,13
R007,S0031,14
R007,S0032,15
R008,S0023,1
R008,S0067,2
R008,S0001,3
R008,S0004,4
R008,S0006,5
R008,S0098,6
R008,S0092,7
R008,S0057,8
R008,S0005,9
R008,S0060,10
R008,S0088,11
R008,S0017,12
R008,S0047,13
R008,S0094,14
R008,S0087,15
R008,S0032,16
R009,S0063,1
R009,S0013,2
R009,S0033,3
R009,S0020,4
R009,S0028,5
R009,S0059,6
R009,S0064,7
R009,S0035,8
R009,S0031,9
R009,S0057,10
R009,S0006,11
R009,S0097,12
R009,S0008,13
R009,S0041,14
R009,S0074,15
R009,S0001,16
R009,S0005,17
R009,S0049,18
R009,S0047,19
R009,S0060,20
R009,S0071,21
R009,S0004,22
R009,S0079,23
R009,S0093,24
R009,S0017,25
R010,S0097,1
R010,S0050,2
R010,S0086,3
R010,S0041,4
R010,S0022,5
R010,S0085,6
R010,S0023,7
R010,S0090,8
R010,S0058,9
R010,S0089,10
R011,S0042,1
R011,S0097,2
R011,S0032,3
R011,S0005,4
R011,S0072,5
R011,S0010,6
R011,S0018,7
R011,S0022,8
R011,S0017,9
R011,S0016,10
R011,S0081,11
R011,S0040,12
R011,S0080,13
R011,S0073,14
R011,S0070,15
R011,S0021,16
R011,S0026,17
R011,S0076,18
R011,S0051,19
R011,S0083,20
R011,S0004,21
R011,S0059,22
R011,S0015,23
R011,S0071,24
R011,S0041,25
R011,S0037,26
R012,S0067,1
R012,S0025,2
R012,S0046,3
R012,S0069,4
R012,S0043,5
R012,S0058,6
R012,S0049,7
R012,S0081,8
R012,S0034,9
R012,S0023,10
R012,S0052,11
R012,S0033,12
R012,S0016,13
R012,S0048,14
R012,S0007,15
R012,S0013,16
R012,S0080,17
R012,S0075,18
R012,S0090,19
R012,S0015,20
R013,S0036,1
R013,S0086,2
R013,S0077,3
R013,S0032,4
R013,S0009,5
R013,S0024,6
R013,S0020,7
R013,S0053,8
R013,S0090,9
R013,S0029,10
R014,S0008,1
R014,S0043,2
R014,S0028,3
R014,S0021,4
R014,S0096,5
R014,S0073,6
R014,S0047,7
R014,S0077,8
R014,S0088,9
R014,S0022,10
R014,S0067,11
R014,S0053,12
R014,S0051,13
R014,S0075,14
R014,S0007,15
R014,S0057,16
R014,S0040,17
R014,S0081,18
R014,S0087,19
R014,S0064,20
R015,S0045,1
R015,S0018,2
R015,S0068,3
R015,S0089,4
R015,S0008,5
R015,S0030,6
R015,S0096,7
R015,S0020,8
R015,S0033,9
R015,S0036,10
R015,S0013,11
R015,S0047,12
R015,S0087,13
R015,S0067,14
R015,S0075,15
R016,S0099,1
R016,S0057,2
R016,S0059,3
R016,S0062,4
R016,S0081,5
R016,S0060,6
R016,S0061,7
R016,S0044,8
R016,S0093,9
R016,S0065,10
R016,S0025,11
R016,S0084,12
R016,S0013,13
R016,S0031,14
R016,S0047,15
R016,S0096,16
R016,S0069,17
R016,S0033,18
R016,S0095,19
R016,S0071,20
R016,S0094,21
R016,S0080,22
R016,S0098,23
R016,S0097,24
R017,S0088,1
R017,S0071,2
R017,S0070,3
R017,S0041,4
R017,S0083,5
R017,S0075,6
R017,S0068,7
R017,S0023,8
R017,S0099,9
R017,S0013,10
R017,S0082,11
R017,S0024,12
R017,S0053,13
R017,S0028,14
R017,S0017,15
R017,S0057,16
R017,S0076,17
R017,S0050,18
R017,S0064,19
R017,S0061,20
R017,S0097,21
R017,S0016,22
R017,S0077,23
R018,S0009,1
R018,S0097,2
R018,S0030,3
R018,S0017,4
R018,S0021,5
R018,S0054,6
R018,S0007,7
R018,S0070,8
R018,S0095,9
R018,S0075,10
R019,S0001,1
R019,S0049,2
R019,S0094,3
R019,S0032,4
R019,S0007,5
R019,S0003,6
R019,S0079,7
R019,S0017,8
R019,S0099,9
R019,S0053,10
R019,S0050,11
R019,S0081,12
R020,S0095,1
R020,S0049,2
R020,S0068,3
R020,S0022,4
R020,S0031,5
R020,S0055,6
R020,S0025,7
R020,S0042,8
R020,S0093,9
R020,S0011,10
R020,S0096,11
R020,S0082,12
R020,S0024,13
R020,S0046,14
R020,S0073,15
R020,S0004,16
R020,S0054,17
R020,S0067,18
R020,S0052,19
R020,S0012,20
R020,S0060,21
R020,S0014,22
R020,S0032,23
R020,S0065,24
R020,S0057,25
R020,S0069,26
R020,S0062,27
