route_id,start_time,end_time,headway_mins
R001,06:00:00,22:00:00,15
R002,06:00:00,22:00:00,15
R003,06:00:00,22:00:00,10
R004,06:00:00,22:00:00,10
R005,06:00:00,22:00:00,10
R006,06:00:00,22:00:00,15
R007,06:00:00,22:00:00,15
R008,06:00:00,22:00:00,20
R009,06:00:00,22:00:00,10
R010,06:00:00,22:00:00,10
R011,06:00:00,22:00:00,10
R012,06:00:00,22:00:00,20
R013,06:00:00,22:00:00,20
R014,06:00:00,22:00:00,20
R015,06:00:00,22:00:00,10
R016,06:00:00,22:00:00,15
R017,06:00:00,22:00:00,10
R018,06:00:00,22:00:00,20
R019,06:00:00,22:00:00,10
R020,06:00:00,22:00:00,15
