stop_id,stop_name,latitude,longitude,zone
S0001,Stop 1,40.78339258660572,-74.06943737348197,Zone 2
S0002,Stop 2,40.658269394186384,-74.01650948139273,Zone 4
S0003,Stop 3,40.66041563864458,-74.00993584473413,Zone 8
S0004,Stop 4,40.709948757486934,-74.01843879163218,Zone 6
S0005,Stop 5,40.69615955985193,-74.0113765628144,Zone 6
S0006,Stop 6,40.7044072021291,-74.01326332236424,Zone 3
S0007,Stop 7,40.72400770159681,-73.99705321803353,Zone 3
S0008,Stop 8,40.68854761205828,-74.05060276278549,Zone 6
S0009,Stop 9,40.68111996900541,-74.06056749335558,Zone 9
S0010,Stop 10,40.76715972391545,-73.95413018277254,Zone 10
S0011,Stop 11,40.640681130831,-73.91241729681602,Zone 7
S0012,Stop 12,40.802211261384414,-74.07898693193205,Zone 1
S0013,Stop 13,40.77592581500797,-73.99224768646337,Zone 4
S0014,Stop 14,40.65462222213353,-74.08800248812581,Zone 5
S0015,Stop 15,40.78183345188171,-73.91874948432066,Zone 10
S0016,Stop 16,40.65771421533009,-74.03295896422193,Zone 1
S0017,Stop 17,40.73409945001959,-74.02805974455548,Zone 8
S0018,Stop 18,40.79786175330059,-73.99053198855694,Zone 1
S0019,Stop 19,40.68974496157438,-73.94121726944988,Zone 2
S0020,Stop 20,40.78057264322647,-74.04203870485667,Zone 5
S0021,Stop 21,40.72397710304786,-74.06891411059216,Zone 7
S0022,Stop 22,40.77802233892394,-74.00183156800765,Zone 4
S0023,Stop 23,40.72371919217043,-74.04278482626502,Zone 8
S0024,Stop 24,40.65174466544961,-73.91324565391696,Zone 2
S0025,Stop 25,40.73108682265558,-73.97863737202395,Zone 8
S0026,Stop 26,40.70876807040088,-73.91668443169826,Zone 8
S0027,Stop 27,40.73124015616155,-73.98124131995695,Zone 6
S0028,Stop 28,40.711450517421646,-74.05452195426417,Zone 6
S0029,Stop 29,40.67933272095766,-74.00513981789567,Zone 1
S0030,Stop 30,40.61702412327312,-74.03168658491244,Zone 9
S0031,Stop 31,40.70029060755587,-74.10032772192659,Zone 9
S0032,Stop 32,40.62386371747904,-74.04628714795776,Zone 7
S0033,Stop 33,40.69808163883339,-74.06067428175994,Zone 7
S0034,Stop 34,40.69658864411782,-74.08658896173566,Zone 6
S0035,Stop 35,40.661747486270464,-73.91084056503003,Zone 1
S0036,Stop 36,40.771253628199744,-74.06868211014712,Zone 1
S0037,Stop 37,40.670853721737195,-73.93789990145827,Zone 5
S0038,Stop 38,40.77977557456963,-74.0359046243097,Zone 3
S0039,Stop 39,40.63388379758274,-73.99338637701521,Zone 5
S0040,Stop 40,40.69710749922359,-74.0130808661604,Zone 1
S0041,Stop 41,40.642159138754046,-74.03339948449896,Zone 4
S0042,Stop 42,40.73847871834758,-74.03204490258217,Zone 10
S0043,Stop 43,40.71918214700294,-73.97870245202115,Zone 2
S0044,Stop 44,40.64301818560043,-73.95314722311048,Zone 3
S0045,Stop 45,40.62435737148551,-73.97143988226836,Zone 10
S0046,Stop 46,40.651120057293596,-73.93673733945622,Zone 1
S0047,Stop 47,40.72653732128308,-74.03102055107829,Zone 2
S0048,Stop 48,40.79881326363124,-73.9342287609911,Zone 8
S0049,Stop 49,40.708859434557205,-73.94881275713716,Zone 9
S0050,Stop 50,40.68264020546271,-74.10222238423083,Zone 1
S0051,Stop 51,40.761213291654656,-74.09935024546579,Zone 2
S0052,Stop 52,40.78694647155509,-74.09235506137426,Zone 9
S0053,Stop 53,40.65821313549197,-73.9234600979927,Zone 5
S0054,Stop 54,40.66949405938058,-74.04956517425023,Zone 1
S0055,Stop 55,40.65368755730678,-73.93358192178178,Zone 8
S0056,Stop 56,40.64066148675999,-73.98378306298018,Zone 2
S0057,Stop 57,40.777773058222,-73.95471331085128,Zone 9
S0058,Stop 58,40.74242421795602,-73.91376122248992,Zone 3
S0059,Stop 59,40.6566222802594,-74.0231018361798,Zone 6
S0060,Stop 60,40.61504295720608,-73.98100536690023,Zone 6
S0061,Stop 61,40.691303561264675,-74.08457250658171,Zone 1
S0062,Stop 62,40.79828811875623,-74.06755995848461,Zone 2
S0063,Stop 63,40.725559959813474,-73.91984309338564,Zone 5
S0064,Stop 64,40.62226921584583,-74.02461574418459,Zone 8
S0065,Stop 65,40.66167962672521,-73.98150236590347,Zone 3
S0066,Stop 66,40.7901736674743,-74.03516067503428,Zone 2
S0067,Stop 67,40.633864712389595,-73.9572839477761,Zone 8
