ticket_id,passenger_id,trip_id,boarding_stop_id,alighting_stop_id,timestamp,fare
TK00000001,P000496,T0001820,S0013,S0022,2025-01-01 08:15:00,4.49
TK00000002,P000257,T0001611,S0022,S0013,2025-01-01 08:15:00,1.86
TK00000003,P000852,T0001745,S0003,S0021,2025-01-01 08:15:00,3.8
TK00000004,P000235,T0001451,S0039,S0086,2025-01-01 08:15:00,3.45
TK00000005,P000660,T0000394,S0047,S0068,2025-01-01 08:15:00,3.15
TK00000006,P000587,T0001060,S0027,S0070,2025-01-01 08:15:00,4.14
TK00000007,P000271,T0000556,S0071,S0036,2025-01-01 08:15:00,2.05
TK00000008,P000317,T0000007,S0028,S0077,2025-01-01 08:15:00,3.93
TK00000009,P000401,T0000674,S0092,S0018,2025-01-01 08:15:00,2.8
TK00000010,P000171,T0000153,S0071,S0084,2025-01-01 08:15:00,2.04
TK00000011,P000505,T0000611,S0078,S0016,2025-01-01 08:15:00,4.41
TK00000012,P000345,T0001323,S0061,S0001,2025-01-01 08:15:00,1.94
TK00000013,P000563,T0001968,S0012,S0090,2025-01-01 08:15:00,1.51
TK00000014,P000011,T0000076,S0026,S0043,2025-01-01 08:15:00,2.33
TK00000015,P000205,T0000446,S0071,S0079,2025-01-01 08:15:00,2.83
TK00000016,P000507,T0001884,S0094,S0063,2025-01-01 08:15:00,3.35
TK00000017,P000785,T0001586,S0073,S0085,2025-01-01 08:15:00,4.21
TK00000018,P000985,T0001835,S0043,S0055,2025-01-01 08:15:00,3.39
TK00000019,P000236,T0000709,S0054,S0001,2025-01-01 08:15:00,3.85
TK00000020,P000058,T0000565,S0040,S0047,2025-01-01 08:15:00,3.3
TK00000021,P000834,T0001095,S0068,S0054,2025-01-01 08:15:00,2.8
TK00000022,P000755,T0001827,S0023,S0013,2025-01-01 08:15:00,2.25
TK00000023,P000451,T0001485,S0035,S0004,2025-01-01 08:15:00,4.91
TK00000024,P000905,T0001305,S0006,S0009,2025-01-01 08:15:00,3.62
TK00000025,P000914,T0000778,S0052,S0066,2025-01-01 08:15:00,1.68
TK00000026,P000142,T0001922,S0003,S0091,2025-01-01 08:15:00,4.23
TK00000027,,T0001557,S0078,S0018,2025-01-01 08:15:00,2.9
TK00000028,P000308,T0001019,S0018,S0065,2025-01-01 08:15:00,4.4
TK00000029,P000844,T0001611,S0082,S0071,2025-01-01 08:15:00,3.97
TK00000030,P000215,T0000452,S0051,S0014,2025-01-01 08:15:00,3.1
TK00000031,P000885,T0001231,S0067,S0026,2025-01-01 08:15:00,4.01
TK00000031,P000885,T0001231,S0067,S0026,2025-01-01 08:15:00,4.01
TK00000032,P000686,T0000125,S0009,S0072,2025-01-01 08:15:00,2.14
TK00000033,P000963,T0000231,S0039,S0063,2025-01-01 08:15:00,3.2
TK00000034,P000993,T0001124,S0068,S0054,2025-01-01 08:15:00,4.45
TK00000035,,T0001303,S0007,S0033,2025-01-01 08:15:00,4.88
TK00000036,P000149,T0000111,S0031,S0054,2025-01-01 08:15:00,4.36
TK00000037,P000814,T0000002,S0035,S0054,2025-01-01 08:15:00,2.45
TK00000038,P000627,T0000908,S0051,S0006,2025-01-01 08:15:00,4.86
TK00000039,P000253,T0000587,S0079,S0090,2025-01-01 08:15:00,4.98
TK00000040,P000891,T0000703,S0007,S0092,2025-01-01 08:15:00,4.25
TK00000041,P000114,T0001056,S0010,S0052,2025-01-01 08:15:00,4.2
TK00000042,P000950,T0001278,S0097,S0079,2025-01-01 08:15:00,4.88
TK00000043,P000113,T0000332,S0064,S0005,2025-01-01 08:15:00,3.66
TK00000044,P000151,T0001475,S0057,S0057,2025-01-01 08:15:00,4.54
TK00000045,P000342,T0000681,S0065,S0001,2025-01-01 08:15:00,4.59
TK00000046,P000939,T0000359,S0036,S0004,2025-01-01 08:15:00,3.56
TK00000047,P000692,T0001158,S0051,S0059,2025-01-01 08:15:00,2.24
TK00000048,P000155,T0001115,S0072,S0032,2025-01-01 08:15:00,2.64
TK00000049,P000749,T0000806,S0025,S0052,2025-01-01 08:15:00,4.33
TK00000050,P000025,T0000729,S0027,S0007,2025-01-01 08:15:00,4.81
TK00000051,P000674,T0001619,S0025,S0008,2025-01-01 08:15:00,2.67
TK00000052,P000289,T0000196,S0017,S0097,2025-01-01 08:15:00,4.87
TK00000053,P000429,T0000492,S0046,S0058,2025-01-01 08:15:00,4.2
TK00000054,P000950,T0000496,S0085,S0055,2025-01-01 08:15:00,3.89
TK00000055,P000834,T0000990,S0090,S0028,2025-01-01 08:15:00,3.76
TK00000056,P000356,T0001781,S0008,S0067,2025-01-01 08:15:00,1.95
TK00000057,P000369,T0000258,S0034,S0066,2025-01-01 08:15:00,2.02
TK00000058,P000138,T0000347,S0050,S0050,2025-01-01 08:15:00,2.5
TK00000059,P000734,T0001570,S0003,S0100,2025-01-01 08:15:00,1.99
TK00000060,P000057,T0001373,S0088,S0090,2025-01-01 08:15:00,2.27
TK00000061,P000217,T0001129,S0010,S0054,2025-01-01 08:15:00,3.52
TK00000062,P000704,T0001785,S0076,S0093,2025-01-01 08:15:00,2.88
TK00000063,P000162,T0001940,S0018,S0081,2025-01-01 08:15:00,3.52
TK00000064,P000616,T0000775,S0078,S0059,2025-01-01 08:15:00,2.88
TK00000065,P000827,T0001902,S0063,S0074,2025-01-01 08:15:00,2.03
TK00000066,P000107,T0001744,S0073,S0033,2025-01-01 08:15:00,4.62
TK00000067,P000558,T0000397,S0053,S0031,2025-01-01 08:15:00,2.68
TK00000068,P000005,T0000681,S0020,S0087,2025-01-01 08:15:00,1.5
TK00000069,P000912,T0001386,S0097,S0015,2025-01-01 08:15:00,1.51
TK00000070,P000182,T0001757,S0042,S0066,2025-01-01 08:15:00,2.56
TK00000071,P000165,T0000928,S0091,S0006,2025-01-01 08:15:00,3.27
TK00000072,P000555,T0000167,S0034,S0058,2025-01-01 08:15:00,3.2
TK00000073,P000345,T0001998,S0024,S0006,2025-01-01 08:15:00,3.42
TK00000074,P000129,T0001674,S0039,S0083,2025-01-01 08:15:00,1.88
TK00000075,P000172,T0001543,S0054,S0062,2025-01-01 08:15:00,3.19
TK00000076,P000941,T0001401,S0091,S0081,2025-01-01 08:15:00,3.81
TK00000077,P000092,T0000948,S0053,S0075,2025-01-01 08:15:00,1.83
TK00000078,P000993,T0001879,S0041,S0031,2025-01-01 08:15:00,4.74
TK00000079,P000228,T0000329,S0037,S0017,2025-01-01 08:15:00,3.39
TK00000080,P000081,T0001030,S0088,S0076,2025-01-01 08:15:00,4.37
TK00000081,P000786,T0000891,S0059,S0089,2025-01-01 08:15:00,4.9
TK00000082,P000973,T0001753,S0012,S0094,2025-01-01 08:15:00,4.67
TK00000083,P000749,T0001689,S0050,S0061,2025-01-01 08:15:00,1.68
TK00000084,P000271,T0001728,S0022,S0016,2025-01-01 08:15:00,2.78
TK00000085,P000607,T0001626,S0073,S0043,2025-01-01 08:15:00,1.71
TK00000085,P000607,T0001626,S0073,S0043,2025-01-01 08:15:00,1.71
TK00000086,P000743,T0000864,S0005,S0062,2025-01-01 08:15:00,3.22
TK00000087,P000921,T0001255,S0087,S0072,2025-01-01 08:15:00,4.72
TK00000088,P000774,T0000223,S0022,S0091,2025-01-01 08:15:00,3.41
TK00000089,P000944,T0001095,S0062,S0095,2025-01-01 08:15:00,2.16
TK00000090,P000067,T0000512,S0074,S0098,2025-01-01 08:15:00,2.37
TK00000091,P000256,T0001845,S0008,S0006,2025-01-01 08:15:00,4.26
TK00000092,P000725,T0001989,S0032,S0048,2025-01-01 08:15:00,1.78
TK00000093,P000367,T0001058,S0013,S0057,2025-01-01 08:15:00,2.04
TK00000094,P000926,T0000544,S0078,S0081,2025-01-01 08:15:00,2.18
TK00000095,P000602,T0000398,S0026,S0037,2025-01-01 08:15:00,1.6
TK00000096,P000932,T0001364,S0021,S0026,2025-01-01 08:15:00,3.65
TK00000097,P000151,T0000615,S0072,S0018,2025-01-01 08:15:00,4.02
TK00000098,P000422,T0001518,S0063,S0062,2025-01-01 08:15:00,4.74
TK00000099,P000064,T0001101,S0070,S0033,2025-01-01 08:15:00,2.71
TK00000100,P000108,T0000796,S0065,S0023,2025-01-01 08:15:00,3.65
TK00000101,P000372,T0000400,S0054,S0081,2025-01-01 08:15:00,4.72
TK00000102,P000035,T0001471,S0058,S0091,2025-01-01 08:15:00,3.67
TK00000103,P000954,T0000743,S0052,S0071,2025-01-01 08:15:00,2.72
TK00000104,P000181,T0000286,S0019,S0094,2025-01-01 08:15:00,1.67
TK00000105,P000413,T0000392,S0040,S0041,2025-01-01 08:15:00,1.8
TK00000106,P000509,T0001169,S0005,S0019,2025-01-01 08:15:00,3.38
TK00000107,P000680,T0001485,S0063,S0009,2025-01-01 08:15:00,2.24
TK00000108,P000984,T0001533,S0068,S0057,2025-01-01 08:15:00,3.9
TK00000109,P000010,T0001335,S0072,S0092,2025-01-01 08:15:00,4.82
TK00000110,P000652,T0000410,S0009,S0050,2025-01-01 08:15:00,4.36
TK00000111,P000624,T0000258,S0032,S0038,2025-01-01 08:15:00,3.89
TK00000112,P000534,T0000148,S0094,S0094,2025-01-01 08:15:00,2.91
TK00000113,P000821,T0000919,S0074,S0033,2025-01-01 08:15:00,3.79
TK00000114,P000291,T0000069,S0081,S0087,2025-01-01 08:15:00,3.38
TK00000115,P000627,T0000867,S0020,S0041,2025-01-01 08:15:00,4.68
TK00000116,P000990,T0000199,S0034,S0073,2025-01-01 08:15:00,2.53
TK00000117,P000781,T0000274,S0062,S0027,2025-01-01 08:15:00,2.11
TK00000118,P000189,T0001247,S0005,S0016,2025-01-01 08:15:00,2.14
TK00000119,P000431,T0001645,S0084,S0009,2025-01-01 08:15:00,1.56
TK00000120,P000743,T0001887,S0087,S0062,2025-01-01 08:15:00,3.3
TK00000121,P000183,T0000236,S0045,S0015,2025-01-01 08:15:00,4.4
TK00000122,P000715,T0001416,S0031,S0073,2025-01-01 08:15:00,4.1
TK00000123,P000405,T0001848,S0081,S0078,2025-01-01 08:15:00,4.38
TK00000124,P000716,T0001821,S0058,S0057,2025-01-01 08:15:00,1.97
TK00000125,P000627,T0001541,S0008,S0042,2025-01-01 08:15:00,4.68
TK00000126,P000664,T0001624,S0047,S0098,2025-01-01 08:15:00,1.8
TK00000127,P000486,T0001268,S0014,S0049,2025-01-01 08:15:00,2.21
TK00000128,P000956,T0001033,S0097,S0014,2025-01-01 08:15:00,2.11
TK00000129,P000788,T0001756,S0049,S0079,2025-01-01 08:15:00,4.21
TK00000130,P000409,T0001598,S0082,S0067,2025-01-01 08:15:00,1.64
TK00000131,P000276,T0000227,S0027,S0031,2025-01-01 08:15:00,1.77
TK00000132,P000291,T0000640,S0006,S0069,2025-01-01 08:15:00,4.49
TK00000133,P000471,T0001946,S0042,S0072,2025-01-01 08:15:00,2.64
TK00000134,P000604,T0000894,S0044,S0067,2025-01-01 08:15:00,2.63
TK00000135,P000480,T0001100,S0015,S0025,2025-01-01 08:15:00,1.96
TK00000136,P000173,T0000795,S0095,S0093,2025-01-01 08:15:00,2.32
TK00000137,P000135,T0001833,S0066,S0083,2025-01-01 08:15:00,4.12
TK00000138,P000763,T0000381,S0083,S0066,2025-01-01 08:15:00,4.12
TK00000139,P000053,T0001790,S0071,S0004,2025-01-01 08:15:00,1.7
TK00000140,,T0001557,S0082,S0032,2025-01-01 08:15:00,4.18
TK00000141,P000415,T0001253,S0062,S0062,2025-01-01 08:15:00,2.06
TK00000141,P000415,T0001253,S0062,S0062,2025-01-01 08:15:00,2.06
TK00000142,P000183,T0001290,S0081,S0034,2025-01-01 08:15:00,3.09
TK00000143,P000072,T0000333,S0035,S0092,2025-01-01 08:15:00,4.54
TK00000144,P000773,T0001166,S0063,S0026,2025-01-01 08:15:00,4.49
TK00000145,P000197,T0000447,S0086,S0100,2025-01-01 08:15:00,3.37
TK00000146,P000355,T0000846,S0085,S0023,2025-01-01 08:15:00,4.98
TK00000147,P000028,T0001791,S0063,S0050,2025-01-01 08:15:00,3.39
TK00000148,P000411,T0000205,S0086,S0010,2025-01-01 08:15:00,3.3
TK00000149,P000731,T0000347,S0083,S0024,2025-01-01 08:15:00,1.56
TK00000150,P000875,T0001003,S0039,S0067,2025-01-01 08:15:00,3.79
TK00000151,P000644,T0000015,S0054,S0027,2025-01-01 08:15:00,2.29
TK00000152,P000293,T0001286,S0089,S0020,2025-01-01 08:15:00,1.69
TK00000153,P000959,T0001889,S0075,S0039,2025-01-01 08:15:00,2.11
TK00000154,P000857,T0001043,S0067,S0032,2025-01-01 08:15:00,1.84
TK00000155,P000214,T0001834,S0061,S0014,2025-01-01 08:15:00,3.12
TK00000156,P000791,T0000816,S0029,S0099,2025-01-01 08:15:00,3.28
TK00000157,P000426,T0000536,S0039,S0006,2025-01-01 08:15:00,1.8
TK00000158,P000481,T0000240,S0047,S0001,2025-01-01 08:15:00,2.86
TK00000159,P000627,T0001504,S0041,S0002,2025-01-01 08:15:00,4.14
TK00000160,P000483,T0000096,S0069,S0066,2025-01-01 08:15:00,4.1
TK00000161,P000287,T0000338,S0081,S0027,2025-01-01 08:15:00,3.67
TK00000162,P000380,T0001784,S0015,S0060,2025-01-01 08:15:00,4.92
