trip_id,route_id,vehicle_id,service_date,scheduled_start,status
T0000001,R002,V0030,2025-01-05,08:00:00,Completed
T0000002,R014,V0008,2025-01-01,08:00:00,Completed
T0000003,R009,V0010,2025-01-04,08:00:00,Completed
T0000004,R017,V0001,2025-01-01,08:00:00,Completed
T0000005,R010,V0024,2025-01-04,08:00:00,Completed
T0000006,R002,V0043,2025-01-03,08:00:00,Completed
T0000007,R012,V0039,2025-01-03,08:00:00,Completed
T0000008,R005,V0043,2025-01-03,08:00:00,Completed
T0000009,R001,V0026,2025-01-07,08:00:00,Completed
T0000010,R007,V0013,2025-01-03,08:00:00,Completed
T0000011,R016,V0041,2025-01-04,08:00:00,Completed
T0000012,R004,V0042,2025-01-07,08:00:00,Completed
T0000013,R011,V0028,2025-01-07,08:00:00,Completed
T0000014,R004,V0046,2025-01-03,08:00:00,Completed
T0000015,R018,V0025,2025-01-03,08:00:00,Completed
T0000016,R007,V0018,2025-01-06,08:00:00,Completed
T0000017,R013,V0010,2025-01-01,08:00:00,Completed
T0000018,R011,V0009,2025-01-05,08:00:00,Completed
T0000019,R009,V0008,2025-01-05,08:00:00,Completed
T0000020,R007,V0027,2025-01-03,08:00:00,Completed
T0000021,R009,V0031,2025-01-02,08:00:00,Completed
T0000022,R011,V0041,2025-01-02,08:00:00,Completed
T0000023,R013,V0015,2025-01-05,08:00:00,Completed
T0000024,R015,V0013,2025-01-03,08:00:00,Completed
T0000025,R004,V0044,2025-01-03,08:00:00,Completed
T0000026,R012,V0015,2025-01-07,08:00:00,Completed
T0000027,R015,V0040,2025-01-07,08:00:00,Completed
T0000028,R012,V0018,2025-01-02,08:00:00,Completed
T0000029,R008,V0007,2025-01-06,08:00:00,Completed
T0000030,R015,V0035,2025-01-02,08:00:00,Completed
T0000031,R014,V0024,2025-01-01,08:00:00,Completed
T0000032,R009,V0020,2025-01-05,08:00:00,Completed
T0000033,R020,V0045,2025-01-01,08:00:00,Completed
T0000034,R020,V0020,2025-01-05,08:00:00,Completed
T0000035,R012,V0017,2025-01-03,08:00:00,Completed
T0000036,R003,V0003,2025-01-01,08:00:00,Completed
T0000037,R001,V0047,2025-01-04,08:00:00,Completed
T0000038,R008,V0008,2025-01-04,08:00:00,Completed
T0000039,R008,V0032,2025-01-04,08:00:00,Completed
T0000040,R009,V0050,2025-01-04,08:00:00,Completed
T0000041,R016,V0011,2025-01-03,08:00:00,Completed
T0000042,R013,V0038,2025-01-05,08:00:00,Completed
T0000043,R010,V0003,2025-01-03,08:00:00,Completed
T0000044,R016,V0039,2025-01-01,08:00:00,Completed
T0000045,R020,V0026,2025-01-06,08:00:00,Completed
T0000046,R015,V0007,2025-01-05,08:00:00,Completed
T0000047,R014,V0013,2025-01-04,08:00:00,Completed
T0000048,R015,V0029,2025-01-01,08:00:00,Completed
T0000049,R009,V0044,2025-01-04,08:00:00,Completed
T0000050,R002,V0010,2025-01-01,08:00:00,Completed
T0000051,R009,V0021,2025-01-03,08:00:00,Completed
T0000052,R008,V0032,2025-01-06,08:00:00,Completed
T0000053,R018,V0025,2025-01-02,08:00:00,Completed
T0000054,R015,V0033,2025-01-03,08:00:00,Completed
T0000055,R005,V0031,2025-01-02,08:00:00,Completed
T0000056,R002,V0039,2025-01-01,08:00:00,Completed
T0000057,R001,V0018,2025-01-04,08:00:00,Completed
T0000058,R011,V0012,2025-01-04,08:00:00,Completed
T0000059,R020,V0006,2025-01-03,08:00:00,Completed
T0000060,R004,V0029,2025-01-04,08:00:00,Completed
T0000061,R016,V0045,2025-01-07,08:00:00,Completed
T0000062,R013,V0028,2025-01-01,08:00:00,Completed
T0000063,R015,V0026,2025-01-07,08:00:00,Completed
T0000064,R015,V0043,2025-01-07,08:00:00,Completed
T0000065,R004,V0045,2025-01-02,08:00:00,Completed
T0000066,R017,V0014,2025-01-03,08:00:00,Completed
T0000067,R001,V0021,2025-01-06,08:00:00,Completed
T0000068,R008,V0039,2025-01-06,08:00:00,Completed
T0000069,R017,V0028,2025-01-06,08:00:00,Completed
T0000070,R003,V0010,2025-01-03,08:00:00,Completed
T0000071,R015,V0014,2025-01-07,08:00:00,Completed
T0000072,R019,V0024,2025-01-02,08:00:00,Completed
T0000073,R014,V0013,2025-01-02,08:00:00,Completed
T0000074,R002,V0018,2025-01-06,08:00:00,Completed
T0000075,R014,V0024,2025-01-04,08:00:00,Cancelled
T0000076,R004,V0013,2025-01-03,08:00:00,Completed
T0000077,R018,V0044,2025-01-05,08:00:00,Completed
T0000078,R017,V0016,2025-01-06,08:00:00,Completed
T0000079,R020,V0024,2025-01-07,08:00:00,Completed
T0000080,R010,V0047,2025-01-03,08:00:00,Completed
T0000081,R001,V0010,2025-01-03,08:00:00,Completed
T0000082,R010,V0049,2025-01-04,08:00:00,Completed
T0000083,R004,V0019,2025-01-01,08:00:00,Completed
T0000084,R014,V0030,2025-01-02,08:00:00,Completed
T0000085,R020,V0044,2025-01-07,08:00:00,Completed
T0000086,R007,V0025,2025-01-07,08:00:00,Completed
T0000087,R013,V0004,2025-01-01,08:00:00,Completed
T0000088,R007,V0022,2025-01-02,08:00:00,Completed
T0000089,R003,V0014,2025-01-07,08:00:00,Completed
T0000090,R011,V0038,2025-01-07,08:00:00,Completed
T0000091,R017,V0024,2025-01-05,08:00:00,Completed
T0000092,R012,V0028,2025-01-02,08:00:00,Completed
T0000093,R002,V0004,2025-01-04,08:00:00,Completed
T0000094,R010,V0036,2025-01-06,08:00:00,Completed
T0000095,R019,V0042,2025-01-04,08:00:00,Completed
T0000096,R010,V0030,2025-01-02,08:00:00,Completed
T0000097,R008,V0022,2025-01-05,08:00:00,Completed
T0000098,R003,V0022,2025-01-04,08:00:00,Completed
T0000099,R016,V0032,2025-01-03,08:00:00,Completed
T0000100,R019,V0049,2025-01-06,08:00:00,Completed
T0000101,R019,V0034,2025-01-06,08:00:00,Completed
T0000102,R015,V0018,2025-01-05,08:00:00,Completed
T0000103,R011,V0006,2025-01-04,08:00:00,Completed
T0000104,R001,V0047,2025-01-02,08:00:00,Completed
T0000105,R006,V0018,2025-01-01,08:00:00,Completed
T0000106,R002,V0032,2025-01-04,08:00:00,Completed
T0000107,R012,V0038,2025-01-01,08:00:00,Completed
T0000108,R004,V0028,2025-01-03,08:00:00,Completed
T0000109,R016,V0024,2025-01-07,08:00:00,Completed
T0000110,R008,V0027,2025-01-04,08:00:00,Completed
T0000111,R012,V0043,2025-01-02,08:00:00,Completed
T0000112,R006,V0027,2025-01-01,08:00:00,Completed
T0000113,R002,V0025,2025-01-02,08:00:00,Completed
T0000114,R004,V0024,2025-01-04,08:00:00,Completed
T0000115,R016,V0047,2025-01-05,08:00:00,Completed
T0000116,R011,V0011,2025-01-01,08:00:00,Completed
T0000117,R005,V0038,2025-01-02,08:00:00,Completed
T0000118,R003,V0024,2025-01-01,08:00:00,Completed
T0000119,R005,V0007,2025-01-07,08:00:00,Completed
T0000120,R006,V0027,2025-01-04,08:00:00,Completed
T0000121,R018,V0028,2025-01-04,08:00:00,Completed
T0000122,R005,V0003,2025-01-04,08:00:00,Completed
T0000123,R006,V0030,2025-01-04,08:00:00,Completed
T0000124,R007,V0025,2025-01-01,08:00:00,Completed
T0000125,R015,V0002,2025-01-02,08:00:00,Completed
T0000126,R003,V0022,2025-01-05,08:00:00,Completed
T0000127,R004,V0008,2025-01-01,08:00:00,Completed
T0000128,R006,V0040,2025-01-05,08:00:00,Completed
T0000129,R018,V0005,2025-01-06,08:00:00,Completed
T0000130,R018,V0029,2025-01-02,08:00:00,Completed
T0000131,R014,V0033,2025-01-04,08:00:00,Completed
T0000132,R008,V0042,2025-01-05,08:00:00,Completed
T0000133,R014,V0037,2025-01-03,08:00:00,Completed
T0000134,R001,V0011,2025-01-02,08:00:00,Completed
T0000135,R009,V0008,2025-01-06,08:00:00,Completed
T0000136,R018,V0026,2025-01-03,08:00:00,Completed
T0000137,R012,V0045,2025-01-07,08:00:00,Completed
T0000138,R011,V0008,2025-01-02,08:00:00,Completed
T0000139,R011,V0003,2025-01-07,08:00:00,Completed
T0000140,R009,V0024,2025-01-07,08:00:00,Completed
T0000141,R007,V0005,2025-01-07,08:00:00,Completed
T0000142,R005,V0045,2025-01-04,08:00:00,Completed
T0000143,R014,V0016,2025-01-02,08:00:00,Completed
T0000144,R017,V0031,2025-01-05,08:00:00,Completed
T0000145,R014,V0040,2025-01-04,08:00:00,Completed
T0000146,R001,V0020,2025-01-06,08:00:00,Completed
T0000147,R001,V0024,2025-01-06,08:00:00,Completed
T0000148,R020,V0019,2025-01-04,08:00:00,Completed
T0000149,R012,V0044,2025-01-03,08:00:00,Completed
T0000150,R012,V0037,2025-01-02,08:00:00,Completed
T0000151,R019,V0040,2025-01-06,08:00:00,Completed
T0000152,R004,V0013,2025-01-06,08:00:00,Completed
T0000153,R008,V0028,2025-01-01,08:00:00,Completed
T0000154,R008,V0017,2025-01-03,08:00:00,Completed
T0000155,R011,V0003,2025-01-04,08:00:00,Completed
T0000156,R007,V0001,2025-01-03,08:00:00,Cancelled
T0000157,R020,V0038,2025-01-05,08:00:00,Completed
T0000158,R017,V0040,2025-01-01,08:00:00,Completed
T0000159,R012,V0006,2025-01-05,08:00:00,Completed
T0000160,R009,V0006,2025-01-07,08:00:00,Completed
T0000161,R004,V0017,2025-01-04,08:00:00,Completed
T0000162,R015,V0023,2025-01-06,08:00:00,Completed
T0000163,R011,V0011,2025-01-06,08:00:00,Completed
T0000164,R009,V0022,2025-01-04,08:00:00,Completed
T0000165,R012,V0030,2025-01-02,08:00:00,Completed
T0000166,R017,V0012,2025-01-07,08:00:00,Completed
T0000167,R009,V0050,2025-01-02,08:00:00,Completed
T0000168,R005,V0046,2025-01-02,08:00:00,Completed
T0000169,R004,V0037,2025-01-05,08:00:00,Completed
T0000170,R014,V0040,2025-01-04,08:00:00,Completed
T0000171,R011,V0033,2025-01-02,08:00:00,Completed
T0000172,R011,V0035,2025-01-06,08:00:00,Completed
T0000173,R005,V0020,2025-01-01,08:00:00,Completed
T0000174,R006,V0002,2025-01-07,08:00:00,Completed
T0000175,R015,V0024,2025-01-01,08:00:00,Completed
T0000176,R019,V0027,2025-01-03,08:00:00,Completed
T0000177,R015,V0005,2025-01-04,08:00:00,Completed
T0000178,R007,V0018,2025-01-06,08:00:00,Completed
T0000179,R013,V0010,2025-01-05,08:00:00,Completed
T0000180,R013,V0044,2025-01-07,08:00:00,Completed
T0000181,R010,V0017,2025-01-04,08:00:00,Completed
T0000182,R002,V0035,2025-01-06,08:00:00,Completed
T0000183,R014,V0003,2025-01-04,08:00:00,Completed
T0000184,R016,V0025,2025-01-04,08:00:00,Completed
T0000185,R001,V0046,2025-01-07,08:00:00,Completed
T0000186,R020,V0033,2025-01-07,08:00:00,Completed
T0000187,R002,V0034,2025-01-03,08:00:00,Completed
T0000188,R007,V0015,2025-01-03,08:00:00,Completed
T0000189,R002,V0016,2025-01-07,08:00:00,Completed
T0000190,R011,V0014,2025-01-07,08:00:00,Completed
T0000191,R017,V0012,2025-01-02,08:00:00,Completed
T0000192,R020,V0013,2025-01-04,08:00:00,Completed
T0000193,R015,V0022,2025-01-02,08:00:00,Completed
T0000194,R019,V0005,2025-01-04,08:00:00,Completed
T0000195,R008,V0001,2025-01-05,08:00:00,Completed
T0000196,R020,V0029,2025-01-05,08:00:00,Completed
T0000197,R004,V0005,2025-01-05,08:00:00,Completed
T0000198,R006,V0033,2025-01-07,08:00:00,Completed
T0000199,R011,V0028,2025-01-03,08:00:00,Completed
T0000200,R017,V0025,2025-01-07,08:00:00,Completed
T0000201,R009,V0018,2025-01-07,08:00:00,Completed
T0000202,R011,V0002,2025-01-05,08:00:00,Completed
T0000203,R008,V0019,2025-01-01,08:00:00,Completed
T0000204,R019,V0029,2025-01-02,08:00:00,Completed
T0000205,R003,V0002,2025-01-07,08:00:00,Completed
T0000206,R004,V0014,2025-01-02,08:00:00,Completed
T0000207,R011,V0027,2025-01-04,08:00:00,Completed
T0000208,R011,V0026,2025-01-04,08:00:00,Completed
T0000209,R015,V0039,2025-01-04,08:00:00,Completed
T0000210,R013,V0045,2025-01-06,08:00:00,Completed
T0000211,R012,V0043,2025-01-07,08:00:00,Completed
T0000212,R005,V0043,2025-01-03,08:00:00,Completed
T0000213,R009,V0025,2025-01-04,08:00:00,Completed
T0000214,R006,V0016,2025-01-02,08:00:00,Completed
T0000215,R003,V0020,2025-01-07,08:00:00,Completed
T0000216,R015,V0016,2025-01-04,08:00:00,Completed
T0000217,R008,V0007,2025-01-01,08:00:00,Completed
T0000218,R008,V0002,2025-01-06,08:00:00,Completed
T0000219,R003,V0003,2025-01-06,08:00:00,Completed
T0000220,R008,V0048,2025-01-02,08:00:00,Completed
T0000221,R018,V0004,2025-01-03,08:00:00,Completed
T0000222,R006,V0005,2025-01-06,08:00:00,Completed
T0000223,R010,V0013,2025-01-05,08:00:00,Completed
T0000224,R006,V0004,2025-01-07,08:00:00,Completed
T0000225,R016,V0040,2025-01-01,08:00:00,Completed
T0000226,R004,V0018,2025-01-05,08:00:00,Completed
T0000227,R009,V0004,2025-01-05,08:00:00,Completed
