vehicle_id,transport_mode,capacity
V0001,Bus,40
V0002,Bus,40
V0003,Bus,80
V0004,Bus,120
V0005,Tram,120
V0006,Tram,80
V0007,Tram,40
V0008,Tram,80
V0009,Bus,60
V0010,Tram,60
V0011,Bus,80
V0012,Bus,120
V0013,Bus,120
V0014,Bus,40
V0015,Bus,60
V0016,Bus,60
V0017,Bus,60
V0018,Tram,80
V0019,Tram,120
V0020,Tram,120
V0021,Tram,60
V0022,Tram,120
V0023,Tram,40
V0024,Bus,60
V0025,Bus,120
V0026,Tram,80
V0027,Bus,40
V0028,Tram,120
V0029,Tram,60
V0030,Tram,120
V0031,Tram,80
V0032,Tram,120
V0033,Bus,80
V0034,Bus,80
V0035,Bus,60
V0036,Tram,60
V0037,Tram,40
V0038,Bus,40
V0039,Tram,120
V0040,Bus,40
V0041,Tram,80
V0042,Tram,40
V0043,Tram,40
V0044,Bus,120
V0045,Tram,80
V0046,Bus,60
V0047,Bus,80
V0048,Tram,40
V0049,Tram,40
V0050,Tram,40
